LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
03050925,Komponistenviertel Weißensee,19,9,9,-,3,-,6,6,16,21,24
03051017,Rennbahnstraße,3,3,4,-,-,6,3,-,6,8,6
03051021,Buschallee,15,6,3,6,6,6,22,17,12,7,10
03051022,Hansastraße,-,-,-,-,-,-,-,-,-,3,3
03061126,Arnimplatz,141,76,78,39,75,83,107,122,125,127,130
03061131,Falkplatz,93,116,109,82,86,81,102,96,103,100,96
03061227,Humannplatz,119,87,75,63,88,96,130,151,147,130,120
03061228,Erich-Weinert-Straße,93,34,40,26,45,49,58,64,100,105,116
03061332,Helmholtzplatz,254,182,171,153,142,177,242,265,271,250,254
03061429,Greifswalder Straße,23,-,-,3,-,6,9,12,16,21,22
03061430,Volkspark Prenzlauer Berg,6,-,3,6,-,-,-,9,9,-,12
03061434,Anton-Saefkow-Park,42,25,21,15,14,22,46,58,50,47,38
03061435,Conrad-Blenkle-Straße,26,22,12,15,21,31,37,32,33,31,28
03061441,Eldenaer Straße,22,3,-,-,10,12,18,16,19,21,18
03071536,Teutoburger Platz,130,108,112,101,98,133,153,164,185,135,139
03071537,Kollwitzplatz,159,117,115,81,107,116,112,145,150,160,166
03071633,Thälmannpark,18,-,-,-,4,7,6,9,12,3,15
03071638,Winsstraße,194,118,118,84,113,143,170,180,201,183,194
03071639,Bötzowstraße,70,75,70,41,54,61,79,82,75,62,68
04010101,Jungfernheide,29,9,6,15,5,12,30,45,35,33,35
04010102,Plötzensee,6,3,6,3,7,6,6,3,6,-,3
04010103,Paul-Hertz-Siedlung,10,3,3,-,4,-,12,6,9,12,15
04020204,Olympiagelände,-,-,-,-,-,-,-,-,-,-,-
04020205,Siedlung Ruhleben,-,-,3,-,-,-,-,-,-,3,6
04020206,Angerburger Allee,7,3,3,3,6,6,6,3,6,3,4
04020207,Flatowallee,10,6,6,9,3,12,15,12,18,12,10
04020208,Kranzallee,18,12,15,9,3,7,6,10,9,15,13
04020209,Eichkamp,47,59,53,53,47,59,47,42,52,43,46
04020310,Park Ruhwald,6,3,-,-,3,3,3,-,3,6,-
04020311,Reichsstraße,55,15,18,16,32,39,41,52,51,48,48
04020312,Branitzer Platz,16,4,3,15,6,3,7,9,12,16,9
04020313,Königin-Elisabeth-Straße,36,12,16,10,9,20,23,29,34,34,37
04020314,Messegelände,-,-,-,-,-,-,-,-,-,-,-
04030415,Schloßgarten,16,18,13,9,16,15,24,17,25,16,17
04030416,Klausenerplatz,52,28,37,39,46,42,62,60,57,58,59
04030417,Schloßstraße,70,42,30,31,45,51,67,91,72,60,62
04030518,Tegeler Weg,45,18,13,25,18,25,33,33,39,45,42
04030519,Kaiserin-Augusta-Allee,28,3,9,9,6,12,24,25,22,27,28
04030620,Alt-Lietzow,41,9,6,16,9,18,42,19,48,26,26
04030621,Spreestadt,7,3,9,9,12,10,12,8,9,15,9
04030622,Richard-Wagner-Straße,55,21,30,34,27,36,30,50,49,56,63
04030623,Ernst-Reuter-Platz,30,43,27,31,30,27,19,23,27,18,25
04030724,Lietzensee,25,12,18,17,13,24,27,25,29,33,31
04030725,Amtsgerichtsplatz,106,47,49,49,56,46,83,92,93,89,92
04030726,Droysenstraße,30,15,36,24,30,27,30,47,34,33,34
04030827,Karl-August-Platz,143,58,54,51,67,74,96,99,118,131,138
04030828,Savignyplatz,84,90,93,80,54,66,88,97,95,90,89
04030929,Hindemithplatz,41,33,27,31,27,20,30,33,33,35,49
04030930,George-Grosz-Platz,56,34,31,40,46,38,38,40,43,52,43
04030931,Breitscheidplatz,33,21,18,19,27,19,30,24,28,33,30
04031032,Halensee,69,48,40,35,37,52,55,75,69,69,57
04041133,Güterbahnhof Grunewald,-,-,-,-,-,-,-,-,-,-,-
04041134,Bismarckallee,34,39,41,47,35,37,42,44,39,26,33
04041135,Hundekehle,9,3,3,3,6,6,9,6,9,6,9
04041136,Hagenplatz,6,6,9,9,6,9,4,3,9,9,3
04041137,Flinsberger Platz,15,12,18,12,18,23,22,28,15,21,21
04041238,Kissinger Straße,6,-,-,3,3,-,22,15,12,19,8
04041239,Stadion Wilmersdorf,6,-,-,3,3,-,3,3,3,3,6
04041240,Messelpark,5,6,-,4,3,-,-,-,3,-,3
04041241,Breite Straße,15,6,6,-,4,7,6,7,13,9,13
04041342,Schlangenbader Straße,13,3,12,9,12,12,21,16,16,18,10
04041343,Binger Straße,7,12,9,12,6,9,9,9,19,12,9
04041344,Rüdesheimer Platz,36,12,18,26,24,31,21,38,38,33,34
04051445,Eisenzahnstraße,29,15,15,25,9,24,28,30,28,27,25
04051446,Preußenpark,59,39,42,42,37,37,45,53,62,61,60
04051447,Ludwigkirchplatz,18,15,12,12,9,18,21,15,22,27,18
04051448,Schaperstraße,59,38,36,31,48,37,58,59,49,55,56
04051549,Rathaus Wilmersdorf,12,18,9,7,6,6,7,16,18,13,9
04051550,Leon-Jessel-Platz,34,19,28,21,28,21,31,19,31,30,36
04051551,Brabanter Platz,17,3,25,18,18,23,27,13,21,25,24
04051652,Nikolsburger Platz,54,18,11,27,18,19,36,35,54,58,51
04051653,Prager Platz,30,16,12,9,19,21,18,27,23,21,24
