LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
10020622,Kaulsdorf Nord I,-,-,3,-,-,-,4,-,6,-,3
10020623,Rotes Viertel,3,3,-,-,3,-,-,-,-,-,-
10030724,Oberfeldstraße,27,57,67,29,51,50,41,38,6,18,22
10030725,Buckower Ring,-,3,-,-,-,-,-,-,-,-,-
10030726,Alt-Biesdorf,3,-,-,-,-,-,3,3,-,3,4
10030727,Biesdorf Süd,3,7,6,-,3,3,9,6,6,6,-
10040828,Kaulsdorf Nord,9,-,-,-,-,3,6,6,6,9,12
10040829,Alt-Kaulsdorf,-,-,-,-,-,-,-,-,-,-,-
10040830,Kaulsdorf Süd,3,-,-,-,-,-,-,-,-,3,-
10040931,Mahlsdorf Nord,-,3,-,-,-,-,-,-,-,3,3
10040932,Alt-Mahlsdorf,-,-,-,-,-,-,-,-,-,-,-
10040933,Mahlsdorf Süd,4,3,-,3,-,3,-,3,9,6,6
11010101,Dorf Malchow,-,-,-,-,-,-,-,-,-,-,-
11010102,Dorf Wartenberg,-,-,3,-,-,-,-,-,-,-,-
11010103,Dorf Falkenberg,-,-,-,-,-,-,-,-,-,-,-
11010204,Falkenberg Ost,12,-,-,-,-,-,-,10,3,12,13
11010205,Falkenberg West,3,-,-,-,3,-,-,-,3,-,3
11010206,Wartenberg Süd,6,-,-,-,-,-,-,6,-,3,4
11010207,Wartenberg Nord,6,-,-,-,-,-,3,-,6,6,6
11010308,Zingster Straße Ost,3,-,-,6,6,3,-,-,-,3,3
11010309,Zingster Straße West,-,-,-,-,-,6,3,9,6,-,-
11010310,Mühlengrund,-,-,-,-,-,-,-,-,-,-,-
11020411,Malchower Weg,7,-,-,3,-,-,-,-,3,3,7
11020412,Hauptstraße,4,-,-,-,-,-,3,6,3,6,3
11020513,Orankesee,3,-,-,-,-,-,-,-,3,6,7
11020514,Große-Leege-Straße,21,3,-,-,3,3,6,3,9,3,6
11020515,Landsberger Allee,9,7,3,6,9,-,6,6,18,19,22
11020516,Weiße Taube,-,-,3,3,-,3,4,3,-,-,-
11030617,Hohenschönhausener Straße,9,-,-,-,-,-,-,7,6,3,4
11030618,Fennpfuhl West,44,-,7,9,6,9,12,16,24,24,33
11030619,Fennpfuhl Ost,22,4,4,6,3,6,12,11,18,15,19
11030720,Herzbergstraße,43,15,16,7,9,9,22,20,22,21,18
11030721,Rüdigerstraße,43,6,13,-,9,18,37,38,38,51,59
11030824,Frankfurter Allee Süd,24,7,3,12,13,6,36,26,21,22,22
11040925,Victoriastadt,19,6,6,12,13,12,3,18,18,21,13
11040926,Weitlingstraße,78,6,9,10,22,24,48,56,62,81,95
11041022,Rosenfelder Ring,24,3,3,4,-,3,10,17,15,19,17
11041023,Gensinger Straße,3,-,-,-,-,-,-,3,6,6,3
11041027,Tierpark,12,6,3,3,3,3,6,13,9,7,12
11041128,Sewanstraße,32,31,26,18,31,36,55,51,30,33,39
11051229,Rummelsburg,9,3,3,3,-,3,6,18,9,12,6
11051330,Karlshorst West,13,22,13,9,12,21,30,34,18,26,25
11051331,Karlshorst Nord,10,3,3,3,9,3,9,6,6,3,9
11051332,Karlshorst Süd,15,-,-,-,-,3,-,3,-,3,9
12103115,Breitkopfbecken,16,3,3,-,6,6,24,24,9,10,17
12103116,Hausotterplatz,23,9,7,7,9,15,6,16,9,21,22
12103117,Letteplatz,35,12,9,12,6,9,3,25,19,19,21
12103218,Teichstraße,41,6,12,3,11,13,19,6,30,27,36
12103219,Schäfersee,19,3,-,7,7,9,6,12,19,29,21
12103220,Humboldtstraße,11,3,9,6,3,9,6,3,4,9,12
12214125,Waldidyll/Flughafensee,9,10,12,-,12,9,7,18,6,9,18
12214126,Tegel Süd,10,3,6,18,15,9,9,-,13,7,6
12214421,Reinickes Hof,9,6,3,6,-,3,9,13,6,6,9
12214422,Klixstraße,29,7,7,3,6,3,6,16,15,9,18
12214423,Mellerbogen,3,-,-,-,-,-,3,-,3,3,-
12214424,Scharnweberstraße,18,3,3,7,3,6,11,10,16,18,19
12214527,Alt-Tegel,22,-,9,8,3,9,12,11,7,16,15
12214528,Tegeler Forst,3,-,-,-,-,-,-,-,-,-,-
12224229,Konradshöhe/Tegelort,3,6,9,3,6,9,3,7,9,7,9
12224230,Heiligensee,18,18,14,9,13,9,21,25,21,18,18
12231101,Hermsdorf,10,9,6,6,6,9,10,12,13,9,9
12231102,Frohnau,28,-,3,-,3,9,10,4,6,14,15
12301203,Wittenau Süd,13,19,13,10,9,15,6,16,10,21,13
12301204,Wittenau Nord,18,18,19,15,13,12,16,22,22,21,21
12301205,Waidmannslust,3,-,-,-,-,-,-,10,3,3,3
12301206,Lübars,3,-,-,3,3,-,-,-,-,-,4
12302107,Schorfheidestraße,6,3,3,6,3,3,3,10,3,3,3
12302108,Märkisches Zentrum,9,9,7,16,12,12,19,13,9,12,7
12302109,Treuenbrietzener Straße,12,-,6,6,6,6,3,3,9,15,9
12302110,Dannenwalder Weg,9,3,7,3,-,3,11,6,6,9,15
12302211,Lübarser Straße,3,-,-,-,-,-,3,-,3,3,-
12302212,Rollbergesiedlung,9,-,3,6,3,6,9,3,13,3,9
12304313,Borsigwalde,13,6,-,3,12,6,14,-,15,9,13
12304314,Ziekowstraße/Freie Scholle,10,6,-,3,3,-,6,6,6,6,3
